Unique Id,Project Name,Project Address,System,Area,Project Number,Drawn By,Issued Date,Company,itm CID,Fitting Type,Service Type,Service,FAB Service Abbrv,Description (1),Description (2),Schedule/Rating,Alias,Manufacturer,Material Group,Material Data,Material Abbreviation,Size (inch),Size (dec),Inlet Diameter,Size Outlets,Size Branches,RFA Size,RFA Size (max),RFA Size (max dec),Length (ft),Length (dec ft),Quantity,Manufacturer Order Number,RFA Model Number,Spool Name,Spool Name (PiM),Entity Status,Shop Order Number,Item Number,Mark,Weight,Level,Category,Sub Type,Bernhard LB ID,JD Edwards ID,Hanger Diameter,Rod Diameter,Rod Diameter (dec),Rod Inset Depth,Rod Length,Rod Length (dec),Conn Type #1,Conn Type #2,Conn Type #3,Conn Type #4,Conn Type #5,Conn Type #6,Conn Type #7,Conn Type #8
237666ae-b89d-4571-bf0d-ccb06c53c266-0029890f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"14' - 4 1/2""",14.3753,1,,,PLC-CD-06,PLC-CD-06,Spooled,12981,1,,11.63,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-00298915,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"7' - 0 3/8""",7.0324,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,1,,5.69,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-0029891b,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"11' - 11 5/8""",11.9661,1,,,PLD-CD-02,PLD-CD-02,Spooled,12981,1,,9.68,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-0029891e,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"5' - 8 3/8""",5.7019,1,,,PLD-CD-03,PLD-CD-03,Spooled,12981,1,,4.61,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-00298924,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"9' - 11 3/8""",9.9515,1,,,PLC-CD-08,PLC-CD-08,Spooled,12981,1,,8.05,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-0029892d,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"10' - 7 1/8""",10.5947,1,,,PLC-CD-07,PLC-CD-07,Spooled,12981,1,,8.57,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
237666ae-b89d-4571-bf0d-ccb06c53c266-00298b1a,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-03,PLD-CD-03,Spooled,12981,2,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
acd491e1-b885-4972-b735-049e7ea592d7-002d5391,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Pipework,AGM: Condensate Drain (CD),CD,,606 45 Elbow C x C - Wrot,Wrot,45,Nibco,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-10,PLA-CD-10,Spooled,12981,3,,0.1,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000066-0006,,,,,,,,Nibco Copper Cup,Nibco Copper Cup,,,,,,
7d930897-721f-4ac6-99a2-c4061f4caacf-002e4fcb,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLC-CD-07,PLC-CD-07,Spooled,12981,2,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
7d930897-721f-4ac6-99a2-c4061f4caacf-002e50b9,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,4,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
